"date","time","size","version","os","country","ip_id"
"2023-07-23","10:10:29",82189495,"4.3.1","win","TW",238
"2023-07-23","10:10:33",82097720,"4.3.1","win","US",239
"2023-07-23","10:10:36",90548876,"4.1.1","osx","US",240
"2023-07-23","10:10:44",82189116,"4.3.1","win","FR",241
"2023-07-23","10:10:45",82097721,"4.3.1","win","US",242
"2023-07-23","10:10:58",92688887,"4.2.2","osx","US",243
"2023-07-23","10:11:06",82189232,"4.3.1","win","JP",244
"2023-07-23","10:11:52",82189121,"4.3.1","win","AU",245
"2023-07-23","10:12:08",82193907,"4.3.1","win",NA,2
"2023-07-23","10:12:01",82188657,"4.3.1","win",NA,2
"2023-07-23","10:12:07",82190413,"4.3.1","win","US",246
"2023-07-23","10:12:26",82194386,"4.3.1","win","US",247
"2023-07-23","10:12:49",12605554,"4.3.1","win","CN",248
"2023-07-23","10:13:02",82188220,"4.3.1","win","CN",248
"2023-07-23","10:12:54",82190099,"4.3.1","win","CN",249
"2023-07-23","10:13:04",84383488,"devel","win","US",250
"2023-07-23","10:13:24",90635520,"4.1.3","win","US",251
"2023-07-23","18:24:16",82189246,"4.3.1","win","DE",252
"2023-07-23","18:24:19",82189896,"4.3.1","win",NA,2
"2023-07-23","18:24:26",94633092,"4.3.1","osx",NA,2
"2023-07-23","18:24:38",82192630,"4.3.1","win","FR",253
"2023-07-23","18:25:06",82189029,"4.3.1","win","GB",254
"2023-07-23","18:25:12",94634917,"4.3.1","osx","IN",255
"2023-07-23","18:25:20",93048921,"4.2.3","osx",NA,2
"2023-07-23","18:25:39",43083706,"4.3.1","win","VE",256
"2023-07-23","18:25:44",86429685,"3.6.3","win","US",257
"2023-07-23","18:25:41",79837057,"4.2.3","win","US",258
"2023-07-23","18:25:56",90635521,"4.1.3","win","US",259
"2023-07-23","18:26:01",82194719,"4.3.1","win",NA,2
"2023-07-23","18:26:06",82189253,"4.3.1","win","US",260
"2023-07-23","18:25:57",82189630,"4.3.1","win","KR",261
"2023-07-23","18:26:20",97055694,"4.3.1","osx","PL",262
"2023-07-23","18:26:32",34048410,"4.2.3","src","US",263
"2023-07-23","18:26:40",82189588,"4.3.1","win","IN",264
"2023-07-23","18:26:43",82192757,"4.3.1","win",NA,2
"2023-07-23","18:26:51",94632967,"4.3.1","osx",NA,2
"2023-07-23","18:27:38",97052876,"4.3.1","osx","GB",265
"2023-07-23","18:28:33",34941527,"4.3.1","src",NA,2
"2023-07-23","18:26:48",82189984,"4.3.1","win",NA,2
"2023-07-23","18:28:45",97055080,"4.3.1","osx","BG",266
"2023-07-23","18:28:46",82190013,"4.3.1","win","CL",267
"2023-07-23","18:28:50",82189264,"4.3.1","win","JP",268
"2023-07-23","18:28:51",82190435,"4.3.1","win","CA",269
"2023-07-23","18:28:53",82193457,"4.3.1","win","PK",270
"2023-07-23","18:28:48",82189624,"4.3.1","win","US",271
"2023-07-23","23:00:21",94633112,"4.3.1","osx","US",272
"2023-07-23","23:01:24",82097722,"4.3.1","win","KR",273
"2023-07-23","23:01:01",94633229,"4.3.1","osx",NA,2
"2023-07-23","23:01:32",82189993,"4.3.1","win","AU",274
"2023-07-23","23:01:49",94633230,"4.3.1","osx","ID",275
"2023-07-23","23:01:48",94631939,"4.3.1","osx","AU",276
"2023-07-23","23:01:55",94633532,"4.3.1","osx","CA",277
"2023-07-23","23:02:00",82189454,"4.3.1","win","US",278
"2023-07-23","23:02:09",82189938,"4.3.1","win","US",279
"2023-07-23","23:02:13",94634207,"4.3.1","osx","US",280
"2023-07-23","23:01:56",97055380,"4.3.1","osx","US",281
"2023-07-23","23:02:12",97055936,"4.3.1","osx",NA,2
"2023-07-23","23:03:01",4199735,"4.2.2","src","US",34
"2023-07-23","23:02:57",82189769,"4.3.1","win",NA,2
"2023-07-23","23:04:10",82189937,"4.3.1","win","AR",282
"2023-07-23","12:19:19",97053748,"4.3.1","osx","US",1
"2023-07-23","12:19:24",82097722,"4.3.1","win","US",283
"2023-07-23","12:19:25",82190174,"4.3.1","win","CN",284
"2023-07-23","12:18:03",82097724,"4.3.1","win","EE",285
"2023-07-23","12:19:51",82097725,"4.3.1","win","CN",286
"2023-07-23","12:20:04",82188379,"4.3.1","win","US",287
"2023-07-23","12:20:07",82189695,"4.3.1","win",NA,2
"2023-07-23","12:20:08",82188374,"4.3.1","win","ID",288
"2023-07-23","12:20:19",86527219,"3.6.3","win","BR",289
"2023-07-23","12:20:39",87814894,"4.0.2","win","BR",289
"2023-07-23","12:20:43",82192100,"4.3.1","win",NA,2
"2023-07-23","12:19:17",82187995,"4.3.1","win","ID",290
"2023-07-23","12:21:01",33987572,"4.2.2","src","NL",291
"2023-07-23","12:20:59",82191387,"4.3.1","win",NA,2
"2023-07-23","12:21:32",82189002,"4.3.1","win","JP",19
"2023-07-23","12:21:20",82097721,"4.3.1","win","CN",292
"2023-07-23","12:21:40",93949528,"4.2.0","osx","US",293
"2023-07-23","12:22:03",82097722,"4.3.1","win","AU",294
